IncId,Description,Submitter,CreateDate,IncidentStatus,AssignedGroup,Region,City,Category,WorkLog,Hub,Node,Agent,AlertDetails,AlertProcessId,AlertKey,Related_Tickets,Related_CR,CR_Description,CR_StartTime,CR_EndTime,CR_Region
INC0022,Node Down reported in St. Louis. Automated monitoring detected abnormal behavior.,AutoMonitor,1753949334,In Progress,NOC-Level2,Central,St. Louis,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-C2,NODE-202,NoiseReducer,High SNR variance,224376,HUB-C2-NODE-202-224376,INC0196,CR39069,Planned power cycle maintenance,,,Central
INC0023,Internet Down reported in Denver. Automated monitoring detected abnormal behavior.,BMC-Remedy,1753324744,Resolved,NetEng,West,Denver,Internet Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-A1,NODE-404,PulseAI,Frequent modem resets observed,543709,HUB-A1-NODE-404-543709,INC0267,CR72225,Core router reboot for patching,1753313944,1753328344,West
INC0024,Packet Loss reported in Dallas. Automated monitoring detected abnormal behavior.,Technician,1751573621,Resolved,VideoOps,Central,Dallas,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-B1,NODE-202,SignalAnalyzer,Optical power low,505183,HUB-B1-NODE-202-505183,INC0471,CR85680,Planned CMTS software upgrade,,,Central
INC0025,Slow Speed reported in Houston. Automated monitoring detected abnormal behavior.,AutoMonitor,1760150846,Resolved,FieldOps,South,Houston,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-505,NoiseReducer,CMTS upstream channel flap,192134,HUB-A1-NODE-505-192134,INC0495,CR54421,Scheduled hub clean-up activity,1760168846,1760183246,South
INC0026,Internet Down reported in Atlanta. Automated monitoring detected abnormal behavior.,Technician,1755672128,Resolved,VideoOps,South,Atlanta,Internet Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-C2,NODE-202,AlertBot,MAC domain downstream failure,897487,HUB-C2-NODE-202-897487,INC0433,CR62591,Planned power cycle maintenance,1755661328,1755675728,South
INC0027,Node Down reported in Salt Lake City. Automated monitoring detected abnormal behavior.,System,1760444764,Open,NOC-Level1,West,Salt Lake City,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-B1,NODE-101,SignalAnalyzer,Optical power low,971581,HUB-B1-NODE-101-971581,INC0458,CR74213,Optical node recalibration event,,,West
INC0028,Modem Offline reported in St. Louis. Automated monitoring detected abnormal behavior.,AutoMonitor,1759403673,In Progress,FieldOps,Central,St. Louis,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-B1,NODE-303,AlertBot,High SNR variance,270454,HUB-B1-NODE-303-270454,INC0132,CR57439,Backbone congestion mitigation changes,,,Central
INC0029,Fiber Cut reported in Chicago. Automated monitoring detected abnormal behavior.,CustomerCare,1751507048,Open,NOC-Level2,Central,Chicago,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-C2,NODE-404,AutoMonitorX,Signal drop detected,231556,HUB-C2-NODE-404-231556,INC0393,CR53331,Backbone congestion mitigation changes,1751528648,1751543048,Central
INC0030,Modem Offline reported in Salt Lake City. Automated monitoring detected abnormal behavior.,AutoMonitor,1753215507,Resolved,VideoOps,West,Salt Lake City,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-303,NoiseReducer,CMTS upstream channel flap,642667,HUB-A1-NODE-303-642667,INC0239,CR90564,Planned power cycle maintenance,1753208307,1753233507,West
INC0031,Modem Offline reported in St. Louis. Automated monitoring detected abnormal behavior.,CustomerCare,1764505058,Resolved,VideoOps,Central,St. Louis,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-303,AutoMonitorX,CMTS upstream channel flap,842131,HUB-B1-NODE-303-842131,INC0141,CR87599,Planned power cycle maintenance,1764512258,1764551858,Central
INC0032,Fiber Cut reported in Boston. Automated monitoring detected abnormal behavior.,System,1757707671,In Progress,NetEng,East,Boston,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-D4,NODE-303,PulseAI,Video feed disruption,357225,HUB-D4-NODE-303-357225,INC0206,CR87703,Planned power cycle maintenance,1757696871,1757740071,East
INC0033,CMTS Congestion reported in New York. Automated monitoring detected abnormal behavior.,Technician,1756367103,Cancelled,NOC-Level1,East,New York,CMTS Congestion,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-101,NoiseReducer,MAC domain downstream failure,940173,HUB-B1-NODE-101-940173,INC0133,CR80041,Planned CMTS software upgrade,,,East
INC0034,Modem Offline reported in Boulder. Automated monitoring detected abnormal behavior.,BMC-Remedy,1753549911,In Progress,VideoOps,West,Boulder,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-B1,NODE-303,AlertBot,High SNR variance,480217,HUB-B1-NODE-303-480217,INC0295,CR52166,Scheduled hub clean-up activity,,,West
INC0035,Internet Down reported in Houston. Automated monitoring detected abnormal behavior.,AutoMonitor,1762054256,Resolved,NetEng,South,Houston,Internet Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-A1,NODE-505,SignalAnalyzer,Optical power low,782308,HUB-A1-NODE-505-782308,INC0255,CR99771,Optical node recalibration event,1762047056,1762057856,South
INC0036,Modem Offline reported in Miami. Automated monitoring detected abnormal behavior.,System,1750729218,In Progress,VideoOps,South,Miami,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-202,AutoMonitorX,MAC domain downstream failure,156671,HUB-B1-NODE-202-156671,INC0124,CR84621,Fiber maintenance activity,1750722018,1750758018,South
INC0037,Video Outage reported in Dallas. Automated monitoring detected abnormal behavior.,CustomerCare,1763707538,Resolved,NOC-Level2,Central,Dallas,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-303,NoiseReducer,Signal drop detected,457881,HUB-B1-NODE-303-457881,INC0051,CR45645,Fiber maintenance activity,1763711138,1763754338,Central
INC0038,Packet Loss reported in Philadelphia. Automated monitoring detected abnormal behavior.,Technician,1750223845,Cancelled,FieldOps,East,Philadelphia,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-404,AutoMonitorX,Signal drop detected,690115,HUB-B1-NODE-404-690115,INC0407,CR70397,Backbone congestion mitigation changes,,,East
INC0039,Packet Loss reported in Miami. Automated monitoring detected abnormal behavior.,CustomerCare,1752405498,In Progress,VideoOps,South,Miami,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-A1,NODE-505,SignalAnalyzer,MAC domain downstream failure,693744,HUB-A1-NODE-505-693744,INC0225,CR70566,Scheduled hub clean-up activity,,,South
INC0040,Authentication Failure reported in Atlanta. Automated monitoring detected abnormal behavior.,CustomerCare,1763248789,Open,NOC-Level2,South,Atlanta,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-404,AutoMonitorX,Signal drop detected,826171,HUB-B1-NODE-404-826171,INC0021,CR98682,Scheduled hub clean-up activity,1763237989,1763248789,South
INC0041,Modem Offline reported in Miami. Automated monitoring detected abnormal behavior.,Technician,1759978738,Resolved,FieldOps,South,Miami,Modem Offline,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-A1,NODE-303,AutoMonitorX,Signal drop detected,796935,HUB-A1-NODE-303-796935,INC0092,CR23583,Backbone congestion mitigation changes,,,South
INC0042,CMTS Congestion reported in Boulder. Automated monitoring detected abnormal behavior.,CustomerCare,1764332038,Open,FieldOps,West,Boulder,CMTS Congestion,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-B1,NODE-202,SignalAnalyzer,Video feed disruption,877546,HUB-B1-NODE-202-877546,INC0413,CR50417,Core router reboot for patching,,,West
INC0043,Authentication Failure reported in Atlanta. Automated monitoring detected abnormal behavior.,System,1763211148,Resolved,NOC-Level1,South,Atlanta,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-C2,NODE-101,SignalAnalyzer,CMTS upstream channel flap,487070,HUB-C2-NODE-101-487070,INC0259,CR65655,Optical node recalibration event,1763232748,1763254348,South
INC0044,Authentication Failure reported in Houston. Automated monitoring detected abnormal behavior.,AutoMonitor,1761749201,Open,VideoOps,South,Houston,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-B1,NODE-505,PulseAI,Video feed disruption,366304,HUB-B1-NODE-505-366304,INC0194,CR56341,Fiber maintenance activity,1761742001,1761763601,South
INC0045,Authentication Failure reported in Boulder. Automated monitoring detected abnormal behavior.,System,1750941659,In Progress,NOC-Level1,West,Boulder,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-C2,NODE-404,SignalAnalyzer,MAC domain downstream failure,790767,HUB-C2-NODE-404-790767,INC0440,CR92231,Backbone congestion mitigation changes,,,West
INC0046,Internet Down reported in New York. Automated monitoring detected abnormal behavior.,System,1751397692,In Progress,FieldOps,East,New York,Internet Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-101,AutoMonitorX,Optical power low,308526,HUB-B1-NODE-101-308526,INC0163,CR58318,Fiber maintenance activity,1751390492,1751394092,East
INC0047,Fiber Cut reported in Boulder. Automated monitoring detected abnormal behavior.,Technician,1758544979,Open,NOC-Level2,West,Boulder,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-B1,NODE-101,PulseAI,Video feed disruption,496826,HUB-B1-NODE-101-496826,INC0235,CR49528,Fiber maintenance activity,,,West
INC0048,Hub Issue reported in Boulder. Automated monitoring detected abnormal behavior.,CustomerCare,1755973735,In Progress,NOC-Level1,West,Boulder,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-B1,NODE-303,AlertBot,High SNR variance,296733,HUB-B1-NODE-303-296733,INC0130,CR42115,Core router reboot for patching,,,West
INC0049,Node Down reported in Miami. Automated monitoring detected abnormal behavior.,BMC-Remedy,1750933522,Cancelled,FieldOps,South,Miami,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-A1,NODE-202,AlertBot,Video feed disruption,404021,HUB-A1-NODE-202-404021,INC0117,CR23418,Planned power cycle maintenance,,,South
INC0050,Slow Speed reported in Chicago. Automated monitoring detected abnormal behavior.,System,1757871481,Resolved,NetEng,Central,Chicago,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-A1,NODE-202,AlertBot,MAC domain downstream failure,170347,HUB-A1-NODE-202-170347,INC0103,CR11446,Planned power cycle maintenance,1757860681,1757885881,Central
INC0051,Hub Issue reported in Salt Lake City. Automated monitoring detected abnormal behavior.,AutoMonitor,1752930237,In Progress,VideoOps,West,Salt Lake City,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-505,NoiseReducer,Video feed disruption,308629,HUB-A1-NODE-505-308629,INC0016,CR68899,Planned CMTS software upgrade,1752923037,1752962637,West
INC0052,Video Outage reported in Dallas. Automated monitoring detected abnormal behavior.,CustomerCare,1751576168,In Progress,VideoOps,Central,Dallas,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""SignalAnalyzer""}",HUB-C2,NODE-404,SignalAnalyzer,Frequent modem resets observed,394963,HUB-C2-NODE-404-394963,INC0006,CR67449,Planned power cycle maintenance,1751597768,1751626568,Central
INC0053,Packet Loss reported in Denver. Automated monitoring detected abnormal behavior.,Technician,1763240897,Cancelled,FieldOps,West,Denver,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-B1,NODE-101,AutoMonitorX,Optical power low,658694,HUB-B1-NODE-101-658694,INC0264,CR27895,Planned power cycle maintenance,1763230097,1763244497,West
INC0054,Hub Issue reported in Philadelphia. Automated monitoring detected abnormal behavior.,AutoMonitor,1763654865,Cancelled,NOC-Level1,East,Philadelphia,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-A1,NODE-202,PulseAI,Optical power low,317104,HUB-A1-NODE-202-317104,INC0393,CR56157,Backbone congestion mitigation changes,1763665665,1763672865,East
INC0055,Node Down reported in Miami. Automated monitoring detected abnormal behavior.,BMC-Remedy,1754184561,Cancelled,NetEng,South,Miami,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-A1,NODE-505,PulseAI,Optical power low,259666,HUB-A1-NODE-505-259666,INC0039,CR45078,Planned CMTS software upgrade,,,South
INC0056,Slow Speed reported in St. Louis. Automated monitoring detected abnormal behavior.,Technician,1754135238,In Progress,NOC-Level2,Central,St. Louis,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-B1,NODE-202,AlertBot,Frequent modem resets observed,118558,HUB-B1-NODE-202-118558,INC0373,CR29402,Scheduled hub clean-up activity,1754124438,1754160438,Central
INC0057,Authentication Failure reported in Dallas. Automated monitoring detected abnormal behavior.,Technician,1764068191,Resolved,NetEng,Central,Dallas,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-D4,NODE-303,AutoMonitorX,Signal drop detected,312674,HUB-D4-NODE-303-312674,INC0241,CR20995,Planned power cycle maintenance,,,Central
INC0058,Packet Loss reported in Dallas. Automated monitoring detected abnormal behavior.,Technician,1754922280,Open,NetEng,Central,Dallas,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-C2,NODE-505,AutoMonitorX,Frequent modem resets observed,786645,HUB-C2-NODE-505-786645,INC0383,CR72886,Planned power cycle maintenance,1754940280,1754951080,Central
INC0059,Hub Issue reported in Boston. Automated monitoring detected abnormal behavior.,AutoMonitor,1753227439,In Progress,NetEng,East,Boston,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-C2,NODE-101,AlertBot,Frequent modem resets observed,491666,HUB-C2-NODE-101-491666,INC0192,CR49225,Optical node recalibration event,1753234639,1753274239,East
INC0060,Fiber Cut reported in Houston. Automated monitoring detected abnormal behavior.,Technician,1755972353,In Progress,NetEng,South,Houston,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-A1,NODE-404,PulseAI,Optical power low,470835,HUB-A1-NODE-404-470835,INC0142,CR57156,Fiber maintenance activity,1755975953,1756015553,South
INC0061,Video Outage reported in Salt Lake City. Automated monitoring detected abnormal behavior.,AutoMonitor,1762149024,Resolved,NOC-Level2,West,Salt Lake City,Video Outage,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-D4,NODE-303,NoiseReducer,MAC domain downstream failure,405355,HUB-D4-NODE-303-405355,INC0461,CR70173,Fiber maintenance activity,,,West
INC0062,Hub Issue reported in Atlanta. Automated monitoring detected abnormal behavior.,CustomerCare,1750991818,Open,NetEng,South,Atlanta,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-D4,NODE-404,AlertBot,High SNR variance,557880,HUB-D4-NODE-404-557880,INC0348,CR94304,Optical node recalibration event,1750999018,1751009818,South
INC0063,Node Down reported in Houston. Automated monitoring detected abnormal behavior.,BMC-Remedy,1765579185,Resolved,FieldOps,South,Houston,Node Down,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-404,NoiseReducer,Optical power low,521483,HUB-A1-NODE-404-521483,INC0107,CR64939,Fiber maintenance activity,,,South
INC0064,Packet Loss reported in Chicago. Automated monitoring detected abnormal behavior.,BMC-Remedy,1762329090,Resolved,NOC-Level1,Central,Chicago,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AutoMonitorX""}",HUB-D4,NODE-404,AutoMonitorX,MAC domain downstream failure,227143,HUB-D4-NODE-404-227143,INC0113,CR43541,Fiber maintenance activity,1762339890,1762368690,Central
INC0065,Slow Speed reported in Philadelphia. Automated monitoring detected abnormal behavior.,System,1750561527,In Progress,FieldOps,East,Philadelphia,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-404,NoiseReducer,Signal drop detected,555142,HUB-B1-NODE-404-555142,INC0146,CR87445,Core router reboot for patching,,,East
INC0066,Slow Speed reported in Atlanta. Automated monitoring detected abnormal behavior.,Technician,1759351702,Cancelled,NOC-Level2,South,Atlanta,Slow Speed,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-404,NoiseReducer,High SNR variance,706645,HUB-B1-NODE-404-706645,INC0277,CR72516,Planned power cycle maintenance,,,South
INC0067,Fiber Cut reported in New York. Automated monitoring detected abnormal behavior.,CustomerCare,1757785750,Open,FieldOps,East,New York,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-101,NoiseReducer,MAC domain downstream failure,656837,HUB-B1-NODE-101-656837,INC0102,CR81913,Backbone congestion mitigation changes,,,East
INC0068,Hub Issue reported in Boulder. Automated monitoring detected abnormal behavior.,Technician,1761361217,In Progress,VideoOps,West,Boulder,Hub Issue,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-B1,NODE-505,NoiseReducer,Frequent modem resets observed,759503,HUB-B1-NODE-505-759503,INC0078,CR38733,Scheduled hub clean-up activity,,,West
INC0069,CMTS Congestion reported in New York. Automated monitoring detected abnormal behavior.,Technician,1761751082,Resolved,VideoOps,East,New York,CMTS Congestion,"{""notes"": ""Initial triage performed"", ""updated_by"": ""AlertBot""}",HUB-A1,NODE-505,AlertBot,CMTS upstream channel flap,130919,HUB-A1-NODE-505-130919,INC0217,CR21249,Core router reboot for patching,1761754682,1761779882,East
INC0070,Packet Loss reported in Denver. Automated monitoring detected abnormal behavior.,CustomerCare,1753000403,In Progress,NOC-Level2,West,Denver,Packet Loss,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-505,NoiseReducer,MAC domain downstream failure,934582,HUB-A1-NODE-505-934582,INC0339,CR28987,Optical node recalibration event,,,West
INC0071,Authentication Failure reported in Atlanta. Automated monitoring detected abnormal behavior.,AutoMonitor,1760053279,In Progress,VideoOps,South,Atlanta,Authentication Failure,"{""notes"": ""Initial triage performed"", ""updated_by"": ""PulseAI""}",HUB-D4,NODE-404,PulseAI,Optical power low,269516,HUB-D4-NODE-404-269516,INC0338,CR47261,Planned power cycle maintenance,1760046079,1760074879,South
INC0072,Fiber Cut reported in Chicago. Automated monitoring detected abnormal behavior.,Technician,1764912647,Open,FieldOps,Central,Chicago,Fiber Cut,"{""notes"": ""Initial triage performed"", ""updated_by"": ""NoiseReducer""}",HUB-A1,NODE-101,NoiseReducer,MAC domain downstream failure,125653,HUB-A1-NODE-101-125653,INC0029,CR75951,Fiber maintenance activity,,,Central
